영화 제목,review,rating,date
히트맨2,전편에서 나아진게 없다,5,2025.01.22. 19:42
히트맨2,1편부터 느낀건데.. 3편이 나온다면 제발 각본 교체해주세요... 대사 진짜 유치지존이시다. 웹툰 영상화는 인상적.,6,2025.01.22. 15:25
히트맨2,"웃음타율 제로, 거의 1시간가량 스토리는 없음, 이렇게 만들어놓고 ""히트""치기를 바라는건 안될것같아요. 한국영화 계속 이렇게 만들면 안되죠.",1,2025.01.23. 16:40
히트맨2,코미디 영화인데 한번도 안웃은게 레전드,1,2025.01.23. 13:24
히트맨2,1보다 모든게 별로임 ㅜㅜ,5,2025.01.23. 15:25
히트맨2,모든게 너무 과함... 재미도 감동도 없다,6,2025.01.23. 03:41
히트맨2,아니 진짜 '영화 내내 범접 불가한 바보미를 뽐낸다'는 후기가 완벽하게 인정될 정도로 재밋엇음ㅋㅋ2탄이라 기대는 살짝 덜햇는데 이번편은 악당이 맘에 쏙듬..설날 연휴 긴데 보는 사람 많겟다ㅋㅋㅋ,10,2025.01.22. 11:15
히트맨2,극장에서 단체로 웃음 빵빵 터지는 영화가 오랜만이라 더 재밌게 봤습니다 :) 이렇게 보면서 다 같이 웃으면서 볼 수 있는 영화들이 꼭 흥행해서 계속 나왔으면 좋겠습니다.,10,2025.01.22. 10:18
히트맨2,"히트맨 보고 계속 기다렸던 히트맨2!코로나때문에 힘들었던 시기를 지나 히트맨2는 제대로 입소문 나 흥행성공해서 3,4 쭉쭉 나오면 좋겠어요.배우들의 캐미와 연기는 물론이고 스토리도 아주 흥미진진!올 설날은 쉬는 날도 긴데 온가족이 다함께 극장 나들이 하는 것도 좋겠네요.",10,2025.01.22. 11:10
히트맨2,ㅋㅋㅋ일단 배우들 조합이 너무 재밌습니다말도 안되는 거 아는데 스토리 자체가 너무 웃겨요솔직히 요즘 어지러운 일들 많은데 가족끼리 웃으며 보기 좋은 영화라 생각해요!!!,10,2025.01.22. 10:48
히트맨2,영화가 재미없었어요..,1,2025.01.23. 13:21
히트맨2,1편이 선녀였다는 사실,4,2025.01.23. 07:27
히트맨2,"히트맨2 HITMAN2, 2025",5,2025.01.22. 12:20
히트맨2,웃기려고 하는데 웃음도 안나오고 유치함..요즘 시대에 어울리지 않는 웃음 포인트..꼭 오래된 코믹 영화를 본거같네요1편은 괜찮았습니다,4,2025.01.23. 16:24
히트맨2,킬링타임용으로 볼만해요 한국형 코믹액션시리즈가 이어졌으면 해서 조금 아쉬움이 있습니다,7,2025.01.23. 10:15
히트맨2,하...인랑은 피했는데...,2,2025.01.23. 13:56
히트맨2,어디서 히트를 쳐야 하나...?,5,2025.01.22. 22:38
히트맨2,솔직히 너무 재미없어요,2,2025.01.23. 13:00
히트맨2,"히트맨2 (HITMAN2), [2025]",5,2025.01.22. 22:22
히트맨2,오랜만에 재밌는 영화 본 것 같아요!배우분들 연기를 너무 잘하셔서 더 재밌게몰입해서 볼 수 있었습니다~~,10,2025.01.22. 11:51
히트맨2,"가볍게 즐길 수 있으면서도 스릴 넘치는 작품으로, 남녀노소가 즐길 수 있는 영화인 것 같아서 재밌었어요! 긴 장과 웃음을 동시에 있어서 시간이 금방 지나갔어요! 현실과 웹툰이 교차하는 독창적인 설정과 박진감 넘치는 액션, 그리고 캐릭터들의 유머 넘치는 케미가 돋보여 좋았습니다 :)",10,2025.01.22. 11:45
히트맨2,전편을 즐기셨다면 이번에도 충분히 웃고 즐길 수 있을 거라 자신합니다. 가족적이고 유쾌한 코믹 액션을 원하신다면 추천드리고 싶어요!,10,2025.01.22. 11:23
히트맨2,오랜만에 웃고 울고 했던거 같아요!! 배우님들이 연기를 너무 잘하셔서 더 집중해서 보았구요~ 시간이 후딱 지나가네요 ㅋㅋㅋ 한번 더 보러 오고 싶어요!! 부담없이 보기 좋아요!! 가족들에게도 추천입니다.!!,10,2025.01.22. 11:21
